Ticker
AALI
ACES
ADHI
ADRO
AGRO
AISA
AKRA
AMRT
ANJT
ANTM
APIC
ARTO
ASII
ASRI
ASSA
AUTO
BAPA
BBCA
BBKP
BBNI
BBRI
BBTN
BBYB
BCAP
BDMN
BFIN
BGTG
BIPI
BKSL
BMRI
BMTR
BNGA
BRMS
BRPT
BSDE
BTEK
BULL
BUMI
BUVA
BWPT
CENT
CNKO
CPIN
CPRO
CTRA
DEWA
DKFT
DMAS
DOID
DSNG
DSSA
ELSA
EMTK
ENRG
ERAA
ESSA
EXCL
FAST
GGRM
GIAA
GPRA
GZCO
HEXA
HMSP
HRUM
ICBP
IMJS
IMPC
INCO
INDF
INDX
INDY
INKP
INTP
ISAT
ITMA
ITMG
JPFA
JSMR
KBLV
KIJA
KLBF
KPIG
KRAS
LEAD
LPKR
LPPS
LSIP
MAPI
MAYA
MDKA
MEDC
MIDI
MIKA
MLPL
MNCN
MPPA
MSKY
MYOR
NISP
NRCA
OKAS
PGAS
PNBN
PNLF
PSAB
PTBA
PTPP
PTRO
PWON
PYFA
RAJA
SCMA
SGRO
SIDO
SIMP
SMBR
SMDR
SMGR
SMRA
SRAJ
SRTG
SSIA
SSMS
TINS
TKIM
TLKM
TMPO
TOBA
TOWR
TPIA
UNTR
UNVR
WIIM
WTON
CASA
OASA
WSBP
BRIS
CARS
MINA
CLEO
FIRE
HRTA
HOKI
MARK
BELL
PPRE
WEGE
BTPS
HEAL
MSIN
MAPA
TCPI
FILM
PANI
BEEF
COCO
ITIC
FUJI
KEEN
OPMS
SLIS
WOWS
TEBE
REAL
IKAN
CSMI
SGER
WIFI
KETR
UNIQ
TAPG
ADCP
ARCI
NICL
BUKA
GPSO
CMNT
GTSI
CMRY
TAYS
RMKE
AVIA
NASI
BSML
ADMR
ASLC
NTBK
SMKM
STAA
NANO
BIKE
WIRG
GOTO
DEWI
KRYA
HATM
JARR
MEDS
BSBK
ZATA
ISAP
CBRE
LAJU
IRSX
PACK
HALO
PGEO
FUTR
HILL
CUAN
NSSS
PIPA
NCKL
MENN
MBMA
RAAM
DOOH
MPXL
SMIL
VKTR
AMMN
INET
CNMA
GRIA
PPRI
CYBR
HUMI
IOTF
KOCI
BREN
STRK
RGAS
AYAM
SURI
NICE
SMLE
GRPH
SMGA
TOSK
MEJA
LIVE
MHKI
ATLA
DATA
SOLA
PART
AADI
RATU
CBDK
COIN
CDIA
BLOG
EMAS
CARE
ACST
BALI
CGAS
ISSP
MBSS
MITI
RSCH
SOCI
TLDN
WINS
PTPS
DGNS
SUPA
BULL
LEAD
HATM
WINS
JAWA
VKTR
ERAL
TRIN
FORU
ASLI
SUPA
RUIS
AHAP
IATA
MHKI
TRIN
CPRO
UVCR
OPMS
APEX
ASLI
ZATA
CINT
FORE
BABY

