Ticker
AAPL
MSFT
AMZN
GOOGL
META
TSLA
NVDA
NFLX
ADBE
INTC
AMD
CSCO
ORCL
IBM
QCOM
AVGO
CRM
PYPL
SHOP
UBER
JNJ
PFE
UNH
MRNA
ABBV
LLY
PG
KO
PEP
MCD
WMT
NKE
DIS
T
VZ
JPM
BAC
C
GS
MS
V
MA
AMEX
XOM
CVX
COP
BP
SHEL
CAT
BA
GE
DE
UPS
FDX
LMT
RTX
NOC
TSM
ASML
ADSK
INTU
SNOW
PLTR
NOW
PANW
CRWD
NET
ZS
ENPH
SEDG
NEE
DUK
SO
BLDP
FSLR
RIVN
LCID
F
GM
TM
HMC
NIO
BABA
JD
BIDU
KOOK
DAL
UAL
AAL
MAR
HLT
EXPE
COST
TGT
HD
LOW
CVS
WBA
MRK
BMY
VRTX
REGN
GILD
